Fund,Date,Direction,Ticker,CUSIP,% of ETF	
ARKG,09/4/2020,Buy,CLLS,15117K103,CELLECTIS SA,0.0342
ARKG,09/4/2020,Sell,GH,40131M109,GUARDANT HEALTH INC,0.0671
ARKG,09/4/2020,Buy,TDOC,87918A105,TELADOC HEALTH INC,0.1477
ARKG,09/4/2020,Sell,VRTX,92532F100,VERTEX PHARMACEUTICALS INC,0.4427
ARKK,09/4/2020,Buy,DOCU,256163106,DOCUSIGN INC,0.4916
ARKK,09/4/2020,Sell,MTLS,57667T100,MATERIALISE NV,0.0004
ARKK,09/4/2020,Buy,PD,69553P100,PAGERDUTY INC,0.1634
ARKK,09/4/2020,Buy,TDOC,87918A105,TELADOC HEALTH INC,0.1516
ARKK,09/4/2020,Sell,TER,880770102,TERADYNE INC,0.2924
ARKK,09/4/2020,Buy,TWOU,90214J101,2U INC,0.0731
ARKK,09/4/2020,Sell,WORK,83088V102,SLACK TECHNOLOGIES INC,0.4775
ARKK,09/4/2020,Sell,XLNX,983919101,XILINX INC,0.2884
ARKW,09/4/2020,Buy,DOCU,256163106,DOCUSIGN INC,0.4918
ARKW,09/4/2020,Buy,PD,69553P100,PAGERDUTY INC,0.2564
ARKW,09/4/2020,Sell,SQ,852234103,SQUARE INC,0.2435
ARKW,09/4/2020,Sell,WORK,83088V102,SLACK TECHNOLOGIES INC,0.4941
ARKG,09/8/2020,Buy,ARCT,03969T109,ARCTURUS THERAPEUTICS HOLDINGS,0.0100
ARKG,09/8/2020,Sell,CBMG,15117P102,CELLULAR BIOMEDICINE GROUP INC,0.0200
ARKK,09/8/2020,Sell,CGEN,M25722105,COMPUGEN LTD,0.0100
ARKK,09/8/2020,Sell,FB,30303M102,FACEBOOK INC,0.1000
ARKK,09/8/2020,Sell,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,0.0200
ARKK,09/8/2020,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,0.0100
ARKK,09/8/2020,Buy,NTDOY,654445303,NINTENDO CO LTD,0.0400
ARKK,09/8/2020,Sell,PINS,72352L106,PINTEREST INC,0.2100
